lastName,firstName,email,phoneNumber
FOSTER,SIMONE,sfoster@bestbuy.com,8003648270
LONG,LEONORE,llong@paypal.com,8003362345
LEWIS,BILLIE,blewis@flickr.com,8007897266
LEWIS,BRYANNA,blewis@reuters.com,8003315025
JOHNSON,VIOLA,vjohnson@craigslist.org,8003312140
WILSON,TUYET,twilson@nih.gov,8009738756
LONG,SHARAN,slong@irs.gov,8007847495
RODRIGUEZ,TOMMY,trodriguez@bestbuy.com,8004845426
LEE,ILUMINADA,ilee@zynga.com,8001615023
CLARK,MASON,mclark@walmart.com,8005333172
HENDERSON,YUK,yhenderson@answers.com,8001074776
TAYLOR,NELLY,ntaylor@craigslist.org,8004522109
RODRIGUEZ,DORRIS,drodriguez@linkedin.com,8004630567
WILLIAMS,MELODY,mwilliams@youtube.com,8006162470
WARD,ILUMINADA,iward@gamevance.com,8004852615
GREEN,HORACE,hgreen@geocities.com,8000710670
KELLY,CONNIE,ckelly@sears.com,8004018728
HAYES,LOWELL,lhayes@ehow.com,8005796188
MURPHY,MARQUITA,mmurphy@nytimes.com,8008692959
KELLY,SHAN,skelly@flickr.com,8006244905
BUTLER,TIANA,tbutler@cnn.com,8007974434
MITCHELL,MARQUITA,mmitchell@scribd.com,8006934231
FLORES,HILARIA,hflores@comcast.net,8008144160
TURNER,ABDUL,aturner@bizrate.com,8005832431
TAYLOR,MELODY,mtaylor@hp.com,8000085708
PHILLIPS,BILLIE,bphillips@verizonwireless.com,8008105584
MARTIN,NEOMA,nmartin@nytimes.com,8000498252
COX,YUK,ycox@bizrate.com,8007153106
BAKER,ROSEMARY,rbaker@comcast.com,8009510203
ROSS,TIANA,tross@bizrate.com,8001091758
TURNER,MANIE,mturner@webmd.com,8004778922
RICHARDSON,HORACE,hrichardson@nextag.com,8003791330
LEE,SACHIKO,slee@walmart.com,8005186020
GREEN,YUK,ygreen@jcpenney.com,8008734914
HILL,TYRA,thill@bestbuy.com,8006511123
JENKINS,TOMMY,tjenkins@mapquest.com,8004731619
TURNER,ABDUL,aturner@amazon.com,8003489075
HERNANDEZ,DORRIS,dhernandez@aol.com,8008442289
SCOTT,DONA,dscott@about.com,8002699366
DIAZ,LEESA,ldiaz@allrecipes.com,8001118003
PHILLIPS,MANA,mphillips@live.com,8001638368
CAMPBELL,WILBER,wcampbell@hp.com,8001557565
HERNANDEZ,CATHIE,chernandez@gamevance.com,8008717580
EVANS,ROSEMARY,revans@allrecipes.com,8002465959
REED,MASON,mreed@ask.com,8007286934
CLARK,TAYNA,tclark@netflix.com,8002297682
COLEMAN,PHILLIS,pcoleman@verizon.com,8009342777
WALKER,DORRIS,dwalker@wellsfargo.com,8001181282
JACKSON,BRYANNA,bjackson@hulu.com,8000892533
WHITE,LEONIDA,lwhite@evite.com,8007741163
WARD,MOZELL,mward@bestbuy.com,8001020721
CARTER,PHILLIS,pcarter@bankofamerica.com,8005507624
GONZALEZ,NOMA,ngonzalez@monster.com,8000966837
STEWART,WILBER,wstewart@geocities.com,8009924303
SCOTT,EDDIE,escott@comcast.net,8002244745
FLORES,HILARIA,hflores@google.com,8008666440
JAMES,LUCY,ljames@reunion.com,8006256019
BROOKS,ADOLFO,abrooks@citysearch.com,8006973099
HAYES,TUYET,thayes@aol.com,8007710756
EDWARDS,WILBER,wedwards@ups.com,8003814176
STEWART,ROSEMARY,rstewart@gamespot.com,8008123941
COLEMAN,BRUNA,bcoleman@target.com,8003867251
WOOD,AMI,awood@imdb.com,8007155260
MARTINEZ,BRIAN,bmartinez@allrecipes.com,8009913995
WATSON,KATHY,kwatson@geocities.com,8001306950
GARCIA,STACIA,sgarcia@typepad.com,8007290466
TURNER,JOEY,jturner@tripod.com,8007664354
JONES,ASLEY,ajones@hp.com,8000200033
